code,name,swatch,iscool
B51-010-210,Resene River Bed,jpegs/Resene_River_Bed.jpg,true
G47-022-138,Resene Rivergum,jpegs/Resene_Rivergum.jpg,true
G74-013-143,Resene Robins Egg Blue,jpegs/Resene_Robins_Egg_Blue.jpg,true
BR45-019-063,Resene Rock,jpegs/Resene_Rock.jpg,true
B72-025-255,Resene Rock Blue,jpegs/Resene_Rock_Blue.jpg,true
G59-009-202,Resene Rolling Stone,jpegs/Resene_Rolling_Stone.jpg,true
O50-104-056,Resene Rumour Has It,jpegs/Resene_Rumour_Has_It.jpg,true
BR53-024-042,Resene Russett,jpegs/Resene_Russett.jpg,true
B55-026-213,Resene Sabbatical,jpegs/Resene_Sabbatical.jpg,true
BR45-018-050,Resene Saddle,jpegs/Resene_Saddle.jpg,true
BR36-049-065,Resene Saddle Brown,jpegs/Resene_Saddle_Brown.jpg,true
Y82-042-077,Resene Saloon,jpegs/Resene_Saloon.jpg,true
V51-008-317,Resene Salt Box,jpegs/Resene_Salt_Box.jpg,true
BR61-023-068,Resene Sand Dune,jpegs/Resene_Sand_Dune.jpg,true
BR66-040-068,Resene Sandal,jpegs/Resene_Sandal.jpg,true
BR56-018-073,Resene Sandstone,jpegs/Resene_Sandstone.jpg,true
G56-022-159,Resene Scaramanga,jpegs/Resene_Scaramanga.jpg,true
R36-049-033,Resene Scoria,jpegs/Resene_Scoria.jpg,true
N52-006-333,Resene Scorpion,jpegs/Resene_Scorpion.jpg,true
G84-013-114,Resene Secrets,jpegs/Resene_Secrets.jpg,true
BR78-015-067,Resene Serene,jpegs/Resene_Serene.jpg,true
G74-037-161,Resene Serenity,jpegs/Resene_Serenity.jpg,true
BR70-014-075,Resene Settlement,jpegs/Resene_Settlement.jpg,true
N34-007-264,Resene Shark,jpegs/Resene_Shark.jpg,true
B54-073-210,Resene She'll Be Right,jpegs/Resene_She'll_Be_Right.jpg,true
WW0801,Resene Sheer Black,jpegs/Resene_Sheer_Black.jpg,true
BR75-031-078,Resene Shelter,jpegs/Resene_Shelter.jpg,true
B39-058-250,Resene Shipshape,jpegs/Resene_Shipshape.jpg,true
N65-003-154,Resene Silver Grey,jpegs/Resene_Silver_Grey.jpg,true
N80-006-102,Resene Silver Sand,jpegs/Resene_Silver_Sand.jpg,true
Y80-027-081,Resene Sisal,jpegs/Resene_Sisal.jpg,true
BR34-020-054,Resene Slugger,jpegs/Resene_Slugger.jpg,true
B50-023-212,Resene Smalt Blue,jpegs/Resene_Smalt_Blue.jpg,true
BR76-034-067,Resene Soul,jpegs/Resene_Soul.jpg,true
R80-017-038,Resene Soulmate,jpegs/Resene_Soulmate.jpg,true
BR79-030-070,Resene Sour Dough,jpegs/Resene_Sour_Dough.jpg,true
R27-030-010,Resene Spitfire,jpegs/Resene_Spitfire.jpg,true
BR62-025-066,Resene Squirrel,jpegs/Resene_Squirrel.jpg,true
B36-045-231,Resene St Kilda,jpegs/Resene_St_Kilda.jpg,true
B52-012-262,Resene Steam Roller,jpegs/Resene_Steam_Roller.jpg,true
N42-006-256,Resene Steel Grey,jpegs/Resene_Steel_Grey.jpg,true
BR61-012-073,Resene Stonehenge,jpegs/Resene_Stonehenge.jpg,true
